ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre de la descarga 1,URL de la descarga 1
,simple,ABA001,ARROZ POLLITO 5KG,1,0,visible,,,,,taxable,,1,,,0,1,"5,000",,,,1,,,,Víveres,,,,,,,,,,,,0,,,,,,
,simple,ABA003,NEPE 35KG,1,0,visible,,,,,taxable,,1,,,0,1,"35,000",,,,1,,,,Víveres,,,,,,,,,,,,0,,,,,,
,simple,ABA004,SAL ROJA 20 KILOGRAMO,1,0,visible,"Es una mezcla de agua marina con el alaea, una arcilla volcánica de la isla de Molokai. Esta mezcla se purifica, y se deja evaporar lentamente en pequeños estanques. Los cristales que se desarrollan así, contienen una alta proporción de hierro, y más de 80 minerales distintos.","Es una mezcla de agua marina con el alaea, una arcilla volcánica de la isla de Molokai. Esta mezcla se purifica, y se deja evaporar lentamente en pequeños estanques. Los cristales que se desarrollan así, contienen una alta proporción de hierro, y más de 80 minerales distintos.",,,taxable,,1,,,0,1,"20,000",,,,1,,,,Condimentos,,,,,,,,,,,,0,,,,,,
,simple,ABA005,MELAZA CUÑETE 20 KG,1,0,visible,,,,,taxable,,1,,,0,1,"20,000",,,,1,,,,Panadería,,,,,,,,,,,,0,,,,,,
,simple,ABA006,ABA MULTIPOROPOSITO 35KG,1,0,visible,Producto alimenticio granulado resultante de la mezcla final de materias primas que pueden contener o no aditivos no nutricionales.,Producto alimenticio granulado resultante de la mezcla final de materias primas que pueden contener o no aditivos no nutricionales.,,,taxable,,1,,,0,1,"35,000",,,,1,,,,Víveres,,,,,,,,,,,,0,,,,,,
,simple,ACG002,TORONTO CHOCOLATE 36X9GR,1,0,visible,Bombones de chocolate y avellana,Bombones de chocolate y avellana,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,,,
,simple,ACG003,BOCADILLO DE GUAYABA GIANVALENTINA 50UND,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,,,
,simple,ACG004,GALLETAS AJONJOLI SILUET PAQ,1,0,visible,Galletas siluet integrales con ajonjoli Superior 252 g,Galletas siluet integrales con ajonjoli Superior 252 g,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,,,
,simple,ACG005,BOCADILLO DE PIÑA 24UND,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,,,
,simple,ACG006,BOCADILLOS DE GUAYABA 12UND,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,,,
